41,,,,,,,242.44,121.762,,,,,,,,0.8048,−1.1432,,,,,,,
42,,,,,,,241.842,124.229,,,,,,,,-1.1019,−0.0706,,,,,,,
43,,,,,,,241.043,126.635,,,,,,,,-0.7027,−0.7759,,,,,,,
44,,,,,,,240.045,128.968,,,,,,,,-0.7597,−0.9567,,,,,,,
45,,,,,,,238.854,131.216,,,,,,,,1.5026,0.0313,,,,,,,
46,,,,,,,237.485,133.347,,,,,,,,-0.595,−1.2948,,,,,,,
47,,,,,,,235.933,135.37,,,,,,,,-0.1398,1.1773,,,,,,,
48,,,,,,,234.232,137.242,,,,,,,,-1.4483,−0.4282,,,,,,,
49,,,,,,,232.38,138.967,,,,,,,,-1.441,−0.5922,,,,,,,
50,,,,,,,230.383,140.539,,,,,,,,1.2789,−0.8130,,,,,,,
51,,,,,,,228.262,141.939,,,,,,,,0.93272,1.04136,,,,,,,
52,,,,,,,226.034,143.155,,,,,,,,−1.6604,−0.7575,,,,,,,
53,,,,,,,223.724,144.178,,,,,,,,1.4369,0.0995,,,,,,,
54,,,,,,,221.329,145.008,,,,,,,,0.5633,−1.0538,,,,,,,
55,,,,,,,218.869,145.637,,,,,,,,0.9646,1.2285,,,,,,,
56,,,,,,,216.369,146.059,,,,,,,,0.462,0.9718,,,,,,,
57,,,,,,,213.842,146.271,,,,,,,,1.0986,0.1462,,,,,,,
58,,,,,,,211.318,146.272,,,,,,,,0.9888,0.8213,,,,,,,
59,,,,,,,208.793,146.064,,,,,,,,−0.5729,−1.8727,,,,,,,
60,,,,,,,206.293,145.646,,,,,,,,−1.1051,−0.6512,,,,,,,
61,,,,,,,203.833,145.021,,,,,,,,1.4011,1.148,,,,,,,
62,,,,,,,201.433,144.193,,,,,,,,1.4449,0.4777,,,,,,,
63,,,,,,,199.118,143.172,,,,,,,,0.417,0.9303,,,,,,,
64,,,,,,,196.892,141.96,,,,,,,,0.8847,−0.8546,,,,,,,
65,,,,,,,194.777,140.569,,,,,,,,−0.2688,−1.0733,,,,,,,
66,,,,,,,192.784,139.006,,,,,,,,1.0129,−0.3987,,,,,,,
67,,,,,,,190.925,137.281,,,,,,,,−1.3342,0.1675,,,,,,,
68,,,,,,,189.214,135.406,,,,,,,,−0.5867,−1.4324,,,,,,,
69,,,,,,,187.67,133.4,,,,,,,,−1.0411,−1.3206,,,,,,,
70,,,,,,,186.292,131.263,,,,,,,,−0.7890,−1.0823,,,,,,,
71,,,,,,,185.1,129.026,,,,,,,,−0.0246,1.9005,,,,,,,
72,,,,,,,184.097,126.693,,,,,,,,0.7139,0.799,,,,,,,
73,,,,,,,183.292,124.287,,,,,,,,−0.4389,−1.1383,,,,,,,
74,,,,,,,182.691,121.823,,,,,,,,−0.4092,−1.6016,,,,,,,
75,,,,,,,182.295,119.313,,,,,,,,1.3494,−0.1474,,,,,,,
,,,,,,,,,,,,,,,,−0.48152,−1.29893,,,,,,,
,,,,,,,,,,,,,,,,−0.6269,−1.2522,,,,,,,
,,,,,,,,,,,,,,,,−1.2637,−0.9311,,,,,,,
,,,,,,,,,,,,,,,,−0.9584,−0.6098,,,,,,,
,,,,,,,,,,,,,,,,−0.8003,−1.4396,,,,,,,
,,,,,,,,,,,,,,,,−0.1384,1.3614,,,,,,,
,,,,,,,,,,,,,,,,1.2736,0.4495,,,,,,,
,,,,,,,,,,,,,,,,−0.6158,0.984,,,,,,,
,,,,,,,,,,,,,,,,0.1276,−1.4463,,,,,,,
,,,,,,,,,,,,,,,,−0.7729,0.6518,,,,,,,
,,,,,,,,,,,,,,,,0.4013,−1.2335,,,,,,,
,,,,,,,,,,,,,,,,0.5666,−1.5757,,,,,,,
,,,,,,,,,,,,,,,,−0.6014,−1.1251,,,,,,,
,,,,,,,,,,,,,,,,1.4585,−0.3672,,,,,,,
,,,,,,,,,,,,,,,,−1.3337,0.3174,,,,,,,
,,,,,,,,,,,,,,,,−0.7503,−1.0336,,,,,,,
,,,,,,,,,,,,,,,,−1.4079,0.539,,,,,,,
,,,,,,,,,,,,,,,,−1.7150,0.3622,,,,,,,
,,,,,,,,,,,,,,,,−0.3396,−1.6304,,,,,,,
,,,,,,,,,,,,,,,,−1.5630,0.302,,,,,,,
,,,,,,,,,,,,,,,,−0.0920,−1.0383,,,,,,,
,,,,,,,,,,,,,,,,0.4708,1.5051,,,,,,,
,,,,,,,,,,,,,,,,1.6367,−0.5885,,,,,,,
,,,,,,,,,,,,,,,,1.7043,−0.1240,,,,,,,
,,,,,,,,,,,,,,,,−0.5162,0.9141,,,,,,,
